SrNum,Original_Time,Type,Dir,PatNum,From,To,CCGa,CCGd,MCTa,MCTd,DDRa,DDRd,BAa,BAd,ADHa,ADHd,GMNa,GMNd,BVIa,BVId,BYRa,BYRd,BSRa,BSRd,VRa,VRd,DRDa,DRDd,Optimized_Start_Time
1,480,slow,DOWN,PAT038,ADH,BVI,,,,,,,,,,480.0,487.0,487.0,498.0,,,,,,,,,,480.0
2,480,slow,UP,PAT042,VR,ADH,,,,,,,,,518.0,,511.0,511.0,503.0,503.0,496.0,496.0,490.0,490.0,,480.0,,,480.0
3,480,fast,UP,PAT065,VR,ADH,,,,,,,,,525.0,,,,510.0,510.0,498.0,498.0,489.0,489.0,,480.0,,,480.0
4,480,slow,DOWN,PAT028,DDR,BVI,,,,,,480.0,488.0,488.0,500.0,500.0,507.0,507.0,518.0,,,,,,,,,,480.0
5,480,fast,DOWN,PAT044,CCG,BVI,,480.0,,,489.0,489.0,494.0,494.0,503.0,503.0,,,518.0,,,,,,,,,,480.0
8,480,fast,DOWN,PAT062,DDR,BVI,,,,,,480.0,485.0,485.0,494.0,494.0,,,509.0,,,,,,,,,,480.0
6,480,slow,DOWN,PAT041,CCG,ADH,,490.0,496.0,496.0,507.0,507.0,515.0,515.0,527.0,,,,,,,,,,,,,,490.0
12,487,fast,UP,PAT065,VR,ADH,,,,,,,,,535.0,,,,520.0,520.0,508.0,508.0,499.0,499.0,,490.0,,,490.0
7,480,slow,UP,PAT071,BYR,ADH,,,,,,,,,515.0,,508.0,508.0,500.0,500.0,,493.0,,,,,,,493.0
11,487,slow,UP,PAT042,VR,ADH,,,,,,,,,532.0,,525.0,525.0,517.0,517.0,510.0,510.0,504.0,504.0,,494.0,,,494.0
10,480,fast,UP,PAT058,ADH,CCG,518.0,,,,509.0,509.0,504.0,504.0,,495.0,,,,,,,,,,,,,495.0
9,480,fast,DOWN,PAT036,ADH,BYR,,,,,,,,,,497.0,,,512.0,512.0,524.0,,,,,,,,497.0
14,493,fast,UP,PAT065,VR,ADH,,,,,,,,,545.0,,,,530.0,530.0,518.0,518.0,509.0,509.0,,500.0,,,500.0
19,500,fast,DOWN,PAT048,CCG,BYR,,500.0,,,509.0,509.0,514.0,514.0,523.0,523.0,,,538.0,538.0,550.0,,,,,,,,500.0
16,500,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,503.0,510.0,510.0,521.0,521.0,525.0,525.0,532.0,532.0,541.0,,,,503.0
13,493,slow,UP,PAT042,VR,ADH,,,,,,,,,542.0,,535.0,535.0,527.0,527.0,520.0,520.0,514.0,514.0,,504.0,,,504.0
21,507,fast,UP,PAT045,VR,BA,,,,,,,561.0,,552.0,552.0,,,537.0,537.0,525.0,525.0,516.0,516.0,,507.0,,,507.0
20,507,slow,UP,PAT027,VR,BA,,,,,,,557.0,,545.0,545.0,538.0,538.0,530.0,530.0,523.0,523.0,517.0,517.0,,507.0,,,507.0
15,495,fast,UP,PAT058,ADH,CCG,533.0,,,,524.0,524.0,519.0,519.0,,510.0,,,,,,,,,,,,,510.0
18,500,fast,UP,PAT065,VR,ADH,,,,,,,,,555.0,,,,540.0,540.0,528.0,528.0,519.0,519.0,,510.0,,,510.0
24,510,slow,DOWN,PAT028,DDR,BVI,,,,,,510.0,518.0,518.0,530.0,530.0,537.0,537.0,548.0,,,,,,,,,,510.0
22,510,slow,UP,PAT059,ADH,CCG,547.0,,541.0,541.0,530.0,530.0,522.0,522.0,,510.0,,,,,,,,,,,,,510.0
26,510,slow,DOWN,PAT043,CCG,BVI,,510.0,516.0,516.0,527.0,527.0,535.0,535.0,547.0,547.0,554.0,554.0,565.0,,,,,,,,,,510.0
25,510,fast,DOWN,PAT020,ADH,VR,,,,,,,,,,510.0,,,525.0,525.0,537.0,537.0,546.0,546.0,555.0,,,,510.0
28,510,slow,UP,PAT053,BVI,CCG,565.0,,559.0,559.0,548.0,548.0,540.0,540.0,528.0,528.0,521.0,521.0,,510.0,,,,,,,,,510.0
23,510,fast,DOWN,PAT034,DDR,BYR,,,,,,512.0,517.0,517.0,526.0,526.0,,,541.0,541.0,553.0,,,,,,,,512.0
17,500,slow,UP,PAT042,VR,ADH,,,,,,,,,557.0,,550.0,550.0,542.0,542.0,535.0,535.0,529.0,529.0,,519.0,,,519.0
32,520,fast,DOWN,PAT018,CCG,VR,,520.0,,,529.0,529.0,534.0,534.0,543.0,543.0,,,558.0,558.0,570.0,570.0,579.0,579.0,588.0,,,,520.0
33,520,fast,UP,PAT054,VR,CCG,588.0,,,,579.0,579.0,574.0,574.0,565.0,565.0,,,550.0,550.0,538.0,538.0,529.0,529.0,,520.0,,,520.0
30,513,slow,UP,PAT055,VR,CCG,597.0,,591.0,591.0,580.0,580.0,572.0,572.0,560.0,560.0,553.0,553.0,545.0,545.0,538.0,538.0,532.0,532.0,,522.0,,,522.0
29,510,slow,UP,PAT061,BA,CCG,550.0,,544.0,544.0,533.0,533.0,,525.0,,,,,,,,,,,,,,,525.0
27,510,fast,UP,PAT058,ADH,CCG,548.0,,,,539.0,539.0,534.0,534.0,,525.0,,,,,,,,,,,,,525.0
35,520,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,525.0,532.0,532.0,543.0,543.0,547.0,547.0,554.0,554.0,563.0,,,,525.0
34,520,slow,UP,PAT015,VR,DDR,,,,,583.0,,575.0,575.0,563.0,563.0,556.0,556.0,548.0,548.0,541.0,541.0,535.0,535.0,,525.0,,,525.0
31,513,fast,UP,PAT045,VR,BA,,,,,,,586.0,,577.0,577.0,,,562.0,562.0,550.0,550.0,541.0,541.0,,532.0,,,532.0
